id,annotator,start,end,category,class,
21914480_1641325119526,21914480,1348,1391,Interprétation : Mal / Obscurité,unit,
21914480_1641325136254,21914480,1476,1524,Interprétation : Mal / Obscurité,unit,
21914480_1641324675235,21914480,1433,1476,Figure : Métonymie,unit,
21914480_1641324841713,21914480,113,155,Interprétation : Mal / Obscurité,unit,
21914480_1641324855133,21914480,216,259,Interprétation : Mal / Obscurité,unit,
21914480_1641324868098,21914480,341,378,Interprétation : Mal / Obscurité,unit,
21914480_1641324933157,21914480,556,597,Interprétation : Mal / Obscurité,unit,
21914480_1641324937404,21914480,597,639,Interprétation : Mal / Obscurité,unit,
21914480_1641324943246,21914480,682,726,Interprétation : Mal / Obscurité,unit,
21914480_1641324951887,21914480,730,767,Interprétation : Mal / Obscurité,unit,
21914480_1641324993489,21914480,904,939,Interprétation : Bien / Lumière,unit,
